"group","location","site_id","x_centre_4326","y_centre_4326","xmin_4326","ymin_4326","xmax_4326","ymax_4326","xmin_3577","ymin_3577","xmax_3577","ymax_3577","image_id","image_date","image_count","QC_notes"
"NSW Boorowa to Yass","E of Bowning",8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,"20171030",2017-10-30,1,NA
"NSW Boorowa to Yass","E of Bowning",8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,"20161008",2016-10-08,1,NA
"NSW Boorowa to Yass","E of Bowning",8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,"20140820",2014-08-20,1,NA
"NSW Boorowa to Yass","E of Bowning",8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,"20131030",2013-10-30,2,NA
"NSW Boorowa to Yass","E of Bowning",8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,"20230309",2023-03-09,1,NA
"NSW Boorowa to Yass","E of Bowning",8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,"20210306",2021-03-06,1,"cloud"
"NSW Boorowa to Yass","E of Bowning",8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,"20200810",2020-08-10,1,"cloud"
"NSW Boorowa to Yass","E of Bowning",8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,"20181118",2018-11-18,1,NA
"NSW Boorowa to Yass","E of Bowning",8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,"20161008",2016-10-08,1,NA
"NSW Boorowa to Yass","E of Bowning",8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,"20210208",2021-02-08,1,"some cloud"
"NSW Boorowa to Yass","E of Bowning",8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,"20180929",2018-09-29,1,NA
"NSW Boorowa to Yass","NE of Bowning",9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,"20230310",2023-03-10,1,NA
"NSW Boorowa to Yass","NE of Bowning",9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,"20210401",2021-04-01,1,NA
